,S_Pedro,S_Santiago,S_Juan,S_Andrés,S_Bartolomé,S_Tiago,S_Isca,S_Tadeo,S_Mateo,S_Felipe,S_Simón,S_Tomás
2020-09-23 14:00:00,-1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,1.0,-1.0,-1.0
2020-09-23 14:01:00,-1.5,0.0,-0.5,-1.5,-0.5,0.5,-0.5,-0.5,-0.5,0.5,-0.5,-1.5
2020-09-23 14:02:00,-1.3333333333333333,-0.3333333333333333,-0.3333333333333333,-1.6666666666666667,-1.0,0.6666666666666666,0.0,-0.6666666666666666,-0.6666666666666666,0.6666666666666666,-0.3333333333333333,-1.3333333333333333
2020-09-23 14:03:00,-1.25,-0.75,-0.5,-1.5,-1.25,0.5,0.25,-0.5,-1.0,0.75,-0.5,-1.25
2020-09-23 14:04:00,-1.2,-0.8,-0.6,-1.4,-1.2,0.6,0.6,-0.4,-1.4,0.6,-0.6,-1.2
2020-09-23 14:05:00,-1.1666666666666667,-0.6666666666666666,-0.6666666666666666,-1.5,-1.1666666666666667,0.8333333333333334,0.8333333333333334,-0.16666666666666666,-1.8333333333333333,0.5,-0.6666666666666666,-1.0
2020-09-23 14:06:00,-1.0,-0.42857142857142855,-0.8571428571428571,-1.4285714285714286,-1.0,0.8571428571428571,0.8571428571428571,0.14285714285714285,-2.2857142857142856,0.2857142857142857,-0.5714285714285714,-0.7142857142857143
2020-09-23 14:07:00,-0.75,-0.375,-0.875,-1.5,-0.875,0.75,0.75,0.375,-2.625,0.0,-0.375,-0.625
2020-09-23 14:08:00,-0.6666666666666666,-0.3333333333333333,-1.0,-1.4444444444444444,-0.7777777777777778,0.6666666666666666,0.6666666666666666,0.5555555555555556,-2.888888888888889,-0.3333333333333333,-0.1111111111111111,-0.5555555555555556
2020-09-23 14:09:00,-0.5,-0.2,-1.1,-1.4,-0.8,0.5,0.7,0.8,-3.1,-0.7,0.0,-0.4
2020-09-23 14:10:00,-0.2727272727272727,-0.09090909090909091,-1.1818181818181819,-1.2727272727272727,-0.8181818181818182,0.2727272727272727,0.7272727272727273,0.9090909090909091,-3.1818181818181817,-1.0909090909090908,0.18181818181818182,-0.18181818181818182
2020-09-23 14:11:00,0.0,-0.08333333333333333,-1.3333333333333333,-1.0833333333333333,-0.75,0.16666666666666666,0.6666666666666666,1.0,-3.3333333333333335,-1.5,0.25,0.0
2020-09-23 14:12:00,0.3076923076923077,0.0,-1.4615384615384615,-0.9230769230769231,-0.7692307692307693,0.07692307692307693,0.5384615384615384,1.0769230769230769,-3.5384615384615383,-1.7692307692307692,0.23076923076923078,0.07692307692307693
2020-09-23 14:13:00,0.5714285714285714,0.14285714285714285,-1.5714285714285714,-0.8571428571428571,-0.7142857142857143,0.07142857142857142,0.5,1.1428571428571428,-3.7142857142857144,-2.0714285714285716,0.14285714285714285,0.21428571428571427
2020-09-23 14:14:00,0.7333333333333333,0.3333333333333333,-1.6,-0.8,-0.6,0.13333333333333333,0.4,1.1333333333333333,-3.8666666666666667,-2.4,0.13333333333333333,0.26666666666666666
2020-09-23 14:15:00,0.9375,0.4375,-1.6875,-0.75,-0.4375,0.125,0.375,1.125,-3.9375,-2.6875,0.1875,0.375
2020-09-23 14:16:00,1.1764705882352942,0.5882352941176471,-1.8235294117647058,-0.7647058823529411,-0.23529411764705882,0.11764705882352941,0.4117647058823529,1.1176470588235294,-4.0588235294117645,-2.9411764705882355,0.17647058823529413,0.4117647058823529
2020-09-23 14:17:00,1.3333333333333333,0.7222222222222222,-2.0,-0.7777777777777778,-0.1111111111111111,0.1111111111111111,0.3888888888888889,1.0555555555555556,-4.166666666666667,-3.111111111111111,0.1111111111111111,0.5
2020-09-23 14:18:00,1.4736842105263157,0.8947368421052632,-2.1052631578947367,-0.7368421052631579,0.05263157894736842,0.15789473684210525,0.42105263157894735,1.0526315789473684,-4.2105263157894735,-3.210526315789474,0.0,0.631578947368421
2020-09-23 14:19:00,1.55,1.0,-2.25,-0.65,0.2,0.15,0.45,1.1,-4.2,-3.3,-0.1,0.8
2020-09-23 14:20:00,1.6666666666666667,1.1428571428571428,-2.3333333333333335,-0.6190476190476191,0.38095238095238093,0.19047619047619047,0.42857142857142855,1.0952380952380953,-4.238095238095238,-3.4285714285714284,-0.19047619047619047,0.9523809523809523
2020-09-23 14:21:00,1.7272727272727273,1.2272727272727273,-2.409090909090909,-0.5909090909090909,0.5909090909090909,0.2727272727272727,0.45454545454545453,1.0909090909090908,-4.2727272727272725,-3.5,-0.2727272727272727,1.0909090909090908
2020-09-23 14:22:00,1.826086956521739,1.3478260869565217,-2.5217391304347827,-0.5217391304347826,0.8260869565217391,0.391304347826087,0.4782608695652174,1.0434782608695652,-4.304347826086956,-3.5652173913043477,-0.34782608695652173,1.2173913043478262
2020-09-23 14:23:00,1.9166666666666667,1.5,-2.5833333333333335,-0.4166666666666667,1.0416666666666667,0.4583333333333333,0.5416666666666666,0.9583333333333334,-4.375,-3.5833333333333335,-0.4166666666666667,1.3333333333333333
2020-09-23 14:24:00,1.96,1.68,-2.64,-0.28,1.28,0.56,0.6,0.84,-4.4,-3.56,-0.48,1.44
2020-09-23 14:25:00,2.0,1.8846153846153846,-2.730769230769231,-0.15384615384615385,1.5,0.6153846153846154,0.6153846153846154,0.7307692307692307,-4.384615384615385,-3.576923076923077,-0.5,1.5
2020-09-23 14:26:00,2.037037037037037,2.037037037037037,-2.8518518518518516,0.0,1.7037037037037037,0.6666666666666666,0.6296296296296297,0.5925925925925926,-4.407407407407407,-3.5555555555555554,-0.5185185185185185,1.5185185185185186
2020-09-23 14:27:00,2.107142857142857,2.2142857142857144,-2.9285714285714284,0.10714285714285714,1.8571428571428572,0.75,0.6428571428571429,0.4642857142857143,-4.464285714285714,-3.5,-0.5357142857142857,1.5714285714285714
2020-09-23 14:28:00,2.1724137931034484,2.3448275862068964,-2.9655172413793105,0.1724137931034483,2.0344827586206895,0.8620689655172413,0.6896551724137931,0.3448275862068966,-4.517241379310345,-3.4827586206896552,-0.5172413793103449,1.6551724137931034
2020-09-23 14:29:00,2.2333333333333334,2.433333333333333,-3.0,0.2,2.2333333333333334,0.9333333333333333,0.7666666666666667,0.2,-4.6,-3.433333333333333,-0.5333333333333333,1.7333333333333334
2020-09-23 14:30:00,2.2903225806451615,2.5483870967741935,-3.0,0.22580645161290322,2.4193548387096775,1.0,0.8709677419354839,0.0967741935483871,-4.709677419354839,-3.3548387096774195,-0.5161290322580645,1.8064516129032258
2020-09-23 14:31:00,2.34375,2.6875,-3.0,0.25,2.625,1.0625,1.0,0.0,-4.84375,-3.25,-0.46875,1.90625
2020-09-23 14:32:00,2.393939393939394,2.8181818181818183,-3.0,0.30303030303030304,2.8484848484848486,1.121212121212121,1.0909090909090908,-0.09090909090909091,-4.9393939393939394,-3.1515151515151514,-0.3939393939393939,1.9696969696969697
2020-09-23 14:33:00,2.4705882352941178,2.911764705882353,-3.0,0.35294117647058826,3.0294117647058822,1.1764705882352942,1.1764705882352942,-0.20588235294117646,-5.029411764705882,-3.088235294117647,-0.3235294117647059,2.0
2020-09-23 14:34:00,2.5714285714285716,3.0285714285714285,-3.0,0.4,3.2285714285714286,1.2285714285714286,1.2857142857142858,-0.2857142857142857,-5.114285714285714,-3.0,-0.2571428571428571,2.0
2020-09-23 14:35:00,2.6666666666666665,3.111111111111111,-3.0,0.4166666666666667,3.4444444444444446,1.2777777777777777,1.4166666666666667,-0.3888888888888889,-5.194444444444445,-2.888888888888889,-0.2222222222222222,2.0
2020-09-23 14:36:00,2.7567567567567566,3.1621621621621623,-3.0,0.4594594594594595,3.6486486486486487,1.2972972972972974,1.5675675675675675,-0.4864864864864865,-5.27027027027027,-2.7837837837837838,-0.1891891891891892,1.972972972972973
2020-09-23 14:37:00,2.8157894736842106,3.236842105263158,-2.973684210526316,0.5,3.8157894736842106,1.2894736842105263,1.736842105263158,-0.5789473684210527,-5.368421052631579,-2.710526315789474,-0.15789473684210525,1.9210526315789473
2020-09-23 14:38:00,2.8461538461538463,3.3333333333333335,-2.9743589743589745,0.5128205128205128,3.948717948717949,1.3076923076923077,1.9230769230769231,-0.6410256410256411,-5.461538461538462,-2.641025641025641,-0.1282051282051282,1.8461538461538463
2020-09-23 14:39:00,2.875,3.425,-3.0,0.5,4.075,1.325,2.075,-0.725,-5.575,-2.6,-0.1,1.775
2020-09-23 14:40:00,2.902439024390244,3.5121951219512195,-3.024390243902439,0.4634146341463415,4.170731707317073,1.3170731707317074,2.2439024390243905,-0.8048780487804879,-5.7073170731707314,-2.5853658536585367,-0.0975609756097561,1.6829268292682926
2020-09-23 14:41:00,2.9047619047619047,3.5714285714285716,-3.0714285714285716,0.42857142857142855,4.285714285714286,1.3095238095238095,2.4285714285714284,-0.9047619047619048,-5.857142857142857,-2.5952380952380953,-0.11904761904761904,1.5714285714285714
2020-09-23 14:42:00,2.883720930232558,3.627906976744186,-3.0930232558139537,0.3953488372093023,4.372093023255814,1.302325581395349,2.604651162790698,-1.0232558139534884,-6.023255813953488,-2.5813953488372094,-0.16279069767441862,1.4883720930232558
2020-09-23 14:43:00,2.840909090909091,3.659090909090909,-3.1136363636363638,0.38636363636363635,4.454545454545454,1.3181818181818181,2.7954545454545454,-1.1136363636363635,-6.204545454545454,-2.5681818181818183,-0.22727272727272727,1.4090909090909092
2020-09-23 14:44:00,2.7777777777777777,3.688888888888889,-3.1333333333333333,0.4,4.511111111111111,1.3111111111111111,3.0,-1.2222222222222223,-6.4,-2.533333333333333,-0.28888888888888886,1.3333333333333333
2020-09-23 14:45:00,2.8,3.8222222222222224,-3.2222222222222223,0.4444444444444444,4.644444444444445,1.3333333333333333,3.2888888888888888,-1.3555555555555556,-6.733333333333333,-2.5555555555555554,-0.3333333333333333,1.288888888888889
2020-09-23 14:46:00,2.8222222222222224,3.9555555555555557,-3.311111111111111,0.5111111111111111,4.8,1.3111111111111111,3.5555555555555554,-1.4444444444444444,-7.088888888888889,-2.577777777777778,-0.4,1.2666666666666666
2020-09-23 14:47:00,2.8222222222222224,4.088888888888889,-3.3777777777777778,0.6,4.977777777777778,1.288888888888889,3.8222222222222224,-1.511111111111111,-7.444444444444445,-2.6,-0.4888888888888889,1.2
2020-09-23 14:48:00,2.8444444444444446,4.266666666666667,-3.4,0.6666666666666666,5.155555555555556,1.2666666666666666,4.111111111111111,-1.6222222222222222,-7.7555555555555555,-2.6,-0.5333333333333333,1.1111111111111112
2020-09-23 14:49:00,2.8444444444444446,4.444444444444445,-3.4,0.7555555555555555,5.288888888888889,1.2,4.355555555555555,-1.711111111111111,-8.066666666666666,-2.577777777777778,-0.5777777777777777,1.0
2020-09-23 14:50:00,2.8444444444444446,4.5777777777777775,-3.422222222222222,0.8666666666666667,5.4222222222222225,1.1111111111111112,4.5777777777777775,-1.8,-8.377777777777778,-2.577777777777778,-0.6,0.8888888888888888
2020-09-23 14:51:00,2.8444444444444446,4.688888888888889,-3.4,0.9555555555555556,5.511111111111111,1.0666666666666667,4.844444444444444,-1.9333333333333333,-8.688888888888888,-2.533333333333333,-0.6666666666666666,0.7333333333333333
2020-09-23 14:52:00,2.8444444444444446,4.844444444444444,-3.4,1.0666666666666667,5.6,1.0222222222222221,5.111111111111111,-2.088888888888889,-9.0,-2.466666666666667,-0.7333333333333333,0.6
2020-09-23 14:53:00,2.8444444444444446,5.0,-3.3777777777777778,1.1333333333333333,5.666666666666667,1.0,5.355555555555555,-2.2444444444444445,-9.333333333333334,-2.3555555555555556,-0.8222222222222222,0.4888888888888889
2020-09-23 14:54:00,2.8444444444444446,5.111111111111111,-3.3333333333333335,1.2222222222222223,5.733333333333333,0.9777777777777777,5.6,-2.422222222222222,-9.666666666666666,-2.2,-0.8666666666666667,0.35555555555555557
2020-09-23 14:55:00,2.8,5.2,-3.311111111111111,1.2666666666666666,5.777777777777778,0.9777777777777777,5.844444444444444,-2.5555555555555554,-10.044444444444444,-2.0,-0.9111111111111111,0.2
2020-09-23 14:56:00,2.7333333333333334,5.311111111111111,-3.2888888888888888,1.3111111111111111,5.8,0.9777777777777777,6.088888888888889,-2.7111111111111112,-10.422222222222222,-1.7777777777777777,-0.9555555555555556,0.022222222222222223
2020-09-23 14:57:00,2.6444444444444444,5.4222222222222225,-3.2666666666666666,1.3777777777777778,5.866666666666666,0.9777777777777777,6.333333333333333,-2.8666666666666667,-10.777777777777779,-1.5777777777777777,-1.0,-0.15555555555555556
2020-09-23 14:58:00,2.5555555555555554,5.488888888888889,-3.2222222222222223,1.4444444444444444,5.888888888888889,0.9777777777777777,6.555555555555555,-3.0444444444444443,-11.11111111111111,-1.3333333333333333,-1.0,-0.35555555555555557
2020-09-23 14:59:00,2.511111111111111,5.555555555555555,-3.2222222222222223,1.488888888888889,5.888888888888889,0.9555555555555556,6.822222222222222,-3.2,-11.466666666666667,-1.0888888888888888,-1.0,-0.5333333333333333
2020-09-23 15:00:00,2.466666666666667,5.644444444444445,-3.2,1.5333333333333334,5.866666666666666,0.9555555555555556,7.066666666666666,-3.3555555555555556,-11.844444444444445,-0.8444444444444444,-1.0,-0.7333333333333333
2020-09-23 15:01:00,2.3777777777777778,5.688888888888889,-3.1333333333333333,1.6222222222222222,5.822222222222222,0.9777777777777777,7.266666666666667,-3.511111111111111,-12.2,-0.6222222222222222,-0.9777777777777777,-0.9111111111111111
2020-09-23 15:02:00,2.3333333333333335,5.7555555555555555,-3.066666666666667,1.7333333333333334,5.777777777777778,0.9777777777777777,7.488888888888889,-3.6444444444444444,-12.577777777777778,-0.4444444444444444,-0.9111111111111111,-1.0888888888888888
2020-09-23 15:03:00,2.311111111111111,5.8,-3.0,1.8444444444444446,5.711111111111111,0.9333333333333333,7.711111111111111,-3.8,-12.955555555555556,-0.3111111111111111,-0.8444444444444444,-1.2666666666666666
2020-09-23 15:04:00,2.3333333333333335,5.866666666666666,-2.933333333333333,1.9555555555555555,5.666666666666667,0.9111111111111111,7.955555555555556,-3.977777777777778,-13.377777777777778,-0.17777777777777778,-0.8,-1.4666666666666666
